MSN,YYYYMM,Value,Column_Order,Description,Unit
FFTCBUS,1973-01-01,6.747651,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-02-01,6.163095,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-03-01,6.044647,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-04-01,5.493184,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-05-01,5.613551,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-06-01,5.347479,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-07-01,5.504556,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-08-01,5.748879,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-09-01,5.376782,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-10-01,5.7653,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-11-01,6.08844,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973-12-01,6.388515,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-01-01,6.378043,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-02-01,5.820458,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-03-01,5.845649,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-04-01,5.355618,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-05-01,5.359907,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-06-01,5.150392,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-07-01,5.458003,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-08-01,5.488069,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-09-01,5.230848,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-10-01,5.713389,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-11-01,5.757535,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974-12-01,6.314029,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-01-01,6.508066,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-02-01,5.658866,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-03-01,5.794307,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-04-01,5.244039,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-05-01,4.917011,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-06-01,4.881923,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-07-01,5.099561,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-08-01,5.199413,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-09-01,4.996158,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-10-01,5.377048,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-11-01,5.309492,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975-12-01,6.337521,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-01-01,6.710216,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-02-01,5.836128,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-03-01,5.807521,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-04-01,5.334664,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-05-01,5.243322,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-06-01,5.236508,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-07-01,5.40514,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-08-01,5.367256,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-09-01,5.18912,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-10-01,5.681201,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-11-01,6.197897,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976-12-01,7.0619,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-01-01,7.230327,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-02-01,6.134899,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-03-01,5.97723,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-04-01,5.409177,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-05-01,5.413653,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-06-01,5.512801,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-07-01,5.618804,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-08-01,5.714704,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-09-01,5.535869,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-10-01,5.72095,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-11-01,5.900695,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977-12-01,6.781158,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-01-01,6.994146,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-02-01,6.416481,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-03-01,6.280715,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-04-01,5.537677,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-05-01,5.63302,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-06-01,5.469015,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-07-01,5.629409,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-08-01,5.801865,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-09-01,5.446963,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-10-01,5.788479,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-11-01,6.02842,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978-12-01,6.783142,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-01-01,7.336166,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-02-01,6.732512,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-03-01,6.42199,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-04-01,5.635417,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-05-01,5.688216,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-06-01,5.520908,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-07-01,5.619578,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-08-01,5.814576,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-09-01,5.431098,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-10-01,5.911981,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-11-01,6.049123,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979-12-01,6.682671,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-01-01,6.864636,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-02-01,6.482913,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-03-01,6.328141,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-04-01,5.470245,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-05-01,5.283326,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-06-01,5.168984,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-07-01,5.42874,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-08-01,5.36277,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-09-01,5.305752,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-10-01,5.640628,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-11-01,5.775618,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980-12-01,6.667805,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-01-01,6.904959,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-02-01,5.810571,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-03-01,5.910062,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-04-01,5.20014,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-05-01,5.231949,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-06-01,5.255929,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-07-01,5.452931,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-08-01,5.352038,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-09-01,5.135095,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-10-01,5.490746,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-11-01,5.459212,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981-12-01,6.315167,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-01-01,6.640697,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-02-01,5.750531,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-03-01,5.740713,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-04-01,5.27593,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-05-01,4.829676,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-06-01,4.78391,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-07-01,5.028317,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-08-01,5.047842,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-09-01,4.823564,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-10-01,5.017757,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-11-01,5.241011,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982-12-01,5.655954,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-01-01,6.062504,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-02-01,5.290891,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-03-01,5.58921,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-04-01,5.055553,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-05-01,4.862973,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-06-01,4.836114,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-07-01,5.100754,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-08-01,5.303409,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-09-01,4.938737,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-10-01,4.933914,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-11-01,5.145302,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983-12-01,5.977512,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-01-01,6.755532,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-02-01,5.770207,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-03-01,5.973514,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-04-01,5.431746,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-05-01,5.286097,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-06-01,5.188581,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-07-01,5.288875,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-08-01,5.46417,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-09-01,4.961915,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-10-01,5.19925,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-11-01,5.337341,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984-12-01,5.788606,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-01-01,6.42789,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-02-01,6.03303,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-03-01,5.710393,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-04-01,5.302405,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-05-01,5.146409,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-06-01,5.033449,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-07-01,5.309635,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-08-01,5.395869,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-09-01,4.925617,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-10-01,5.207793,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-11-01,5.228088,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985-12-01,6.315121,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-01-01,6.514033,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-02-01,5.785886,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-03-01,5.883728,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-04-01,5.239137,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-05-01,5.206938,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-06-01,5.147695,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-07-01,5.451039,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-08-01,5.331362,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-09-01,4.947904,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-10-01,5.164399,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-11-01,5.247547,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986-12-01,6.066258,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-01-01,6.520368,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-02-01,5.879311,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-03-01,5.863944,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-04-01,5.470761,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-05-01,5.319684,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-06-01,5.417632,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-07-01,5.724864,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-08-01,5.618573,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-09-01,5.26135,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-10-01,5.527906,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-11-01,5.517998,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987-12-01,6.352849,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-01-01,6.820914,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-02-01,6.402514,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-03-01,6.351358,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-04-01,5.560392,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-05-01,5.466201,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-06-01,5.577641,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-07-01,5.763547,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-08-01,6.018489,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-09-01,5.415734,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-10-01,5.704981,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-11-01,5.829882,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988-12-01,6.596231,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-01-01,6.634584,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-02-01,6.352085,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-03-01,6.586898,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-04-01,5.772522,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-05-01,5.66289,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-06-01,5.687456,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-07-01,5.769796,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-08-01,5.927662,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-09-01,5.515428,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-10-01,5.818518,9,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989-11-01,5.962743,9,Total Fossil Fuels Consumption,Quadrillion Btu
