Value of Total Fossil Fuels,Value of Total Renewable Energy Consumption,Value of Nuclear Electric Power Consumption
6.747651,0.219839,0.068103
6.163095,0.19733,0.064634
6.044647,0.218686,0.072494
5.493184,0.20933,0.06407
5.613551,0.215982,0.062111
5.347479,0.208249,0.073968
5.504556,0.2078,0.07589
5.748879,0.203432,0.084883
5.376782,0.1853,0.085724
5.7653,0.193514,0.081971
6.08844,0.195326,0.088773
6.388515,0.220755,0.087557
6.378043,0.23101,0.084855
5.820458,0.210188,0.090577
5.845649,0.226384,0.097966
5.355618,0.223218,0.079566
5.359907,0.227793,0.073242
5.150392,0.218976,0.079015
5.458003,0.221909,0.113953
5.488069,0.214197,0.137654
5.230848,0.2009,0.12288
5.713389,0.200312,0.121248
5.757535,0.200068,0.122819
6.314029,0.211046,0.148309
6.508066,0.214319,0.153503
5.658866,0.198008,0.140232
5.794307,0.224384,0.163893
5.244039,0.215679,0.146773
4.917011,0.223695,0.15158
4.881923,0.217798,0.140348
5.099561,0.216202,0.169294
5.199413,0.206312,0.174883
4.996158,0.194934,0.158543
5.377048,0.206489,0.161078
5.309492,0.208436,0.155988
6.337521,0.217911,0.183682
6.710216,0.236073,0.177844
5.836128,0.221374,0.158824
5.807521,0.237807,0.15458
5.334664,0.224756,0.121316
5.243322,0.234082,0.131784
5.236508,0.229595,0.174072
5.40514,0.235984,0.195628
5.367256,0.228336,0.202851
5.18912,0.211665,0.191006
5.681201,0.218818,0.191723
6.197897,0.209968,0.178235
7.0619,0.216239,0.233256
7.230327,0.228907,0.238556
6.134899,0.194523,0.211078
5.97723,0.225781,0.222619
5.409177,0.216602,0.213943
5.413653,0.221823,0.221834
5.512801,0.211752,0.23172
5.618804,0.215097,0.235032
5.714704,0.214871,0.244991
5.535869,0.208974,0.211395
5.72095,0.216727,0.205053
5.900695,0.222663,0.209548
6.781158,0.235754,0.255994
6.994146,0.260677,0.282638
6.416481,0.233933,0.238869
6.280715,0.258863,0.245611
5.537677,0.255285,0.192342
5.63302,0.272691,0.223373
5.469015,0.254703,0.242728
5.629409,0.258056,0.273603
5.801865,0.250652,0.280082
5.446963,0.241494,0.242769
5.788479,0.241095,0.251605
6.02842,0.237214,0.272438
6.783142,0.250285,0.278067
7.336166,0.27,0.302351
6.732512,0.239377,0.281883
6.42199,0.273485,0.264739
5.635417,0.265526,0.200369
5.688216,0.283727,0.163455
5.520908,0.264118,0.174776
5.619578,0.262394,0.226552
5.814576,0.257423,0.263316
5.431098,0.243468,0.237204
5.911981,0.253559,0.227745
6.049123,0.255317,0.209477
6.682671,0.262637,0.223959
6.864636,0.298221,0.215389
6.482913,0.271194,0.210277
6.328141,0.294931,0.218584
5.470245,0.293043,0.205
5.283326,0.310682,0.200541
5.168984,0.299633,0.199859
5.42874,0.295537,0.229329
5.36277,0.281831,0.265424
5.305752,0.268204,0.257127
5.640628,0.273058,0.267351
5.775618,0.270913,0.228892
6.667805,0.288131,0.241396
6.904959,0.299483,0.26228
5.810571,0.273604,0.238196
5.910062,0.293454,0.242709
5.20014,0.286764,0.227726
5.231949,0.305297,0.217546
5.255929,0.30586,0.233457
5.452931,0.308821,0.254569
5.352038,0.296678,0.297219
5.135095,0.27672,0.269115
5.490746,0.284684,0.226731
5.459212,0.280364,0.251301
6.315167,0.304193,0.286743
6.640697,0.320311,0.284331
5.750531,0.297475,0.223538
5.740713,0.330131,0.251971
5.27593,0.316183,0.241222
4.829676,0.323939,0.239606
4.78391,0.316816,0.26604
5.028317,0.321854,0.281997
5.047842,0.310059,0.276671
4.823564,0.289054,0.281149
5.017757,0.296056,0.257422
5.241011,0.300864,0.257281
5.655954,0.323054,0.269921
6.062504,0.348969,0.273422
5.290891,0.320213,0.242067
5.58921,0.352422,0.260523
5.055553,0.343331,0.243561
4.862973,0.35533,0.240465
4.836114,0.346012,0.263376
5.100754,0.345359,0.279191
5.303409,0.338025,0.285725
4.938737,0.315758,0.272705
4.933914,0.320524,0.281314
5.145302,0.325785,0.272735
5.977512,0.357437,0.287465
6.755532,0.355607,0.317844
5.770207,0.333238,0.308326
5.973514,0.358566,0.296499
5.431746,0.348756,0.262738
5.286097,0.363212,0.280471
5.188581,0.344623,0.274321
5.288875,0.348366,0.306687
5.46417,0.340669,0.319793
4.961915,0.317887,0.316027
5.19925,0.326373,0.268621
5.337341,0.323172,0.266462
5.788606,0.343652,0.334742
6.42789,0.353933,0.384371
6.03303,0.323067,0.32729
5.710393,0.344083,0.32972
5.302405,0.334259,0.28104
5.146409,0.349644,0.304823
5.033449,0.332457,0.32755
5.309635,0.332393,0.373727
5.395869,0.328026,0.369775
4.925617,0.315367,0.366541
5.207793,0.327776,0.331461
5.228088,0.330222,0.320428
6.315121,0.346947,0.358837
6.514033,0.326552,0.383159
5.785886,0.307952,0.346156
5.883728,0.349995,0.325549
5.239137,0.338487,0.322413
5.206938,0.345587,0.337725
5.147695,0.334442,0.331481
5.451039,0.335334,0.379718
5.331362,0.325501,0.396534
4.947904,0.316539,0.387113
5.164399,0.325125,0.383103
5.247547,0.323172,0.369674
6.066258,0.341787,0.417484
6.520368,0.33489,0.417417
5.879311,0.296606,0.382159
5.863944,0.327541,0.389382
5.470761,0.315231,0.349992
5.319684,0.330797,0.358374
5.417632,0.311957,0.38176
5.724864,0.317495,0.41826
5.618573,0.311395,0.431801
5.26135,0.30209,0.414191
5.527906,0.309095,0.381045
5.517998,0.297439,0.390924
6.352849,0.319908,0.438627
6.820914,0.334583,0.473469
6.402514,0.307533,0.447892
6.351358,0.326015,0.465555
5.560392,0.316232,0.424786
5.466201,0.331539,0.430975
5.577641,0.315603,0.467326
5.763547,0.317391,0.528281
6.018489,0.315766,0.519872
5.415734,0.3065,0.49056
5.704981,0.310737,0.451551
5.829882,0.313792,0.419662
6.596231,0.326992,0.467038
6.634584,0.348321,0.490288
6.352085,0.317572,0.409824
6.586898,0.358115,0.419471
5.772522,0.346511,0.354476
5.66289,0.350304,0.405739
5.687456,0.349753,0.454815
5.769796,0.35172,0.553819
5.927662,0.35832,0.581511
5.515428,0.341553,0.474507
5.818518,0.356682,0.460972
5.962743,0.359731,0.459296
7.175947,0.367555,0.537442
6.71583,0.329327,0.583273
5.970118,0.321465,0.528705
6.25336,0.353956,0.487694
5.83131,0.334136,0.407576
5.766968,0.317791,0.454445
5.763212,0.289276,0.490288
5.961692,0.315872,0.567668
6.188925,0.33258,0.590033
5.650824,0.311965,0.513067
5.882538,0.312873,0.459207
5.832145,0.301883,0.476554
6.464655,0.341584,0.545839
6.931248,0.370278,0.570005
5.892879,0.292511,0.501792
6.101053,0.317683,0.514987
5.602625,0.293309,0.43646
5.618474,0.32012,0.490175
5.612394,0.313437,0.568322
5.955334,0.309257,0.636742
5.978671,0.340813,0.613027
5.614724,0.345122,0.543843
5.883668,0.324454,0.49959
6.046869,0.318757,0.485359
6.586641,0.35569,0.561832
6.835561,0.366577,0.605734
6.234612,0.305537,0.552907
6.381501,0.311299,0.479942
5.94784,0.292073,0.442584
5.75883,0.282361,0.477764
5.675539,0.323546,0.535959
6.076354,0.333005,0.586886
5.915606,0.34751,0.614183
5.682676,0.324027,0.533178
5.908912,0.340565,0.510817
6.040422,0.345048,0.531147
6.881807,0.3602,0.608106
6.714885,0.372485,0.620536
6.395945,0.322577,0.539056
6.771593,0.360077,0.489546
5.917162,0.329831,0.453758
5.576916,0.312544,0.529053
5.780633,0.303968,0.552722
6.214218,0.309725,0.593499
6.23037,0.345762,0.590418
5.817883,0.325416,0.525081
6.036419,0.331637,0.466738
6.294266,0.340132,0.492243
6.929841,0.352882,0.557848
7.431876,0.38979,0.594162
6.733204,0.324355,0.520733
6.605446,0.354797,0.511829
6.000177,0.333618,0.451444
5.872698,0.303702,0.507184
6.111767,0.313104,0.540902
6.220659,0.366408,0.61795
6.345064,0.333782,0.628207
5.857132,0.304919,0.581426
6.05067,0.345071,0.529943
6.07539,0.337957,0.577783
6.846502,0.348958,0.632314
7.028515,0.335783,0.665531
6.561758,0.298846,0.544873
6.633216,0.346954,0.545102
6.039398,0.360765,0.518215
6.035281,0.33203,0.571444
6.06616,0.343116,0.592394
6.361742,0.399964,0.651824
6.674332,0.397631,0.64787
6.040399,0.349856,0.585133
6.083335,0.387053,0.570461
6.451528,0.371034,0.553807
7.187681,0.373611,0.628781
7.499915,0.386973,0.661075
6.934096,0.344842,0.587409
6.969688,0.385713,0.582642
6.266615,0.325967,0.528566
6.272672,0.357092,0.584355
6.221216,0.376357,0.603899
6.492192,0.395184,0.640194
6.611527,0.39895,0.645688
6.048659,0.347223,0.573389
6.507758,0.398629,0.531582
6.676654,0.386949,0.54754
7.198654,0.377621,0.600336
7.567747,0.396451,0.618248
6.685037,0.342432,0.531601
6.818842,0.381349,0.529045
6.438344,0.373961,0.471001
6.334819,0.396319,0.493552
6.301964,0.361596,0.546683
6.864248,0.382384,0.601853
6.688172,0.370753,0.641012
6.338503,0.342452,0.551839
6.594252,0.403225,0.493021
6.676918,0.356111,0.537176
7.472125,0.356344,0.581961
7.403689,0.385839,0.607312
6.569874,0.323992,0.535028
7.012227,0.361643,0.563483
6.454305,0.347366,0.498354
6.421263,0.373713,0.540248
6.585208,0.30812,0.584683
7.053682,0.358273,0.645187
7.040388,0.354102,0.633331
6.519245,0.332635,0.600147
6.514528,0.346208,0.602492
6.445165,0.309366,0.601894
7.254417,0.371443,0.655652
7.627163,0.38301,0.686455
6.672181,0.328079,0.600763
7.188621,0.333234,0.614858
6.590746,0.352815,0.507129
6.418875,0.400059,0.585793
6.571305,0.354459,0.651038
7.067383,0.379388,0.698212
7.108281,0.35973,0.712091
6.479405,0.327451,0.636771
6.666627,0.30952,0.578335
6.494068,0.3392,0.632772
7.43838,0.333816,0.706037
7.692062,0.320353,0.737981
7.222425,0.333404,0.669318
7.071465,0.366512,0.654279
6.486421,0.362737,0.607585
6.789661,0.361371,0.667205
6.783197,0.325357,0.701857
6.970518,0.350411,0.719306
7.320572,0.344955,0.701102
6.629874,0.313113,0.607662
6.738354,0.342246,0.547207
6.858912,0.340787,0.58894
8.058291,0.334352,0.65991
8.058063,0.305297,0.717508
7.026546,0.272999,0.639868
7.362239,0.302202,0.648935
6.620594,0.2872,0.58484
6.542012,0.289692,0.642374
6.482683,0.29492,0.710365
6.97562,0.300029,0.722301
7.134657,0.301895,0.714192
6.340761,0.278433,0.661861
6.670422,0.294372,0.631394
6.487865,0.282914,0.651034
7.0983,0.301994,0.704181
7.568672,0.313316,0.740608
6.777398,0.279574,0.643836
7.23929,0.29989,0.65827
6.654541,0.309223,0.6102
6.612856,0.330978,0.658182
6.657799,0.326107,0.693055
7.152411,0.33834,0.735334
7.126571,0.311155,0.739061
6.550505,0.301973,0.673308
6.720017,0.315646,0.631668
6.909449,0.311921,0.642395
7.622747,0.328033,0.719511
8.039713,0.316629,0.721318
7.352223,0.295192,0.635136
7.250885,0.328108,0.624624
6.563808,0.327968,0.591715
6.456592,0.345168,0.648269
6.424067,0.340349,0.668892
7.014799,0.341879,0.725921
7.162053,0.333952,0.719367
6.499037,0.306776,0.662669
6.708386,0.314009,0.625489
6.753287,0.31708,0.621151
7.684241,0.348768,0.715071
8.096323,0.348075,0.738367
7.589798,0.322908,0.668455
7.263378,0.342267,0.659937
6.692449,0.335227,0.611292
6.765564,0.344647,0.676959
6.739287,0.349647,0.706331
7.121877,0.353184,0.750556
7.099052,0.343947,0.741102
6.65937,0.329085,0.687539
6.817708,0.333981,0.652067
6.945019,0.333005,0.614635
7.876444,0.369554,0.715534
8.015701,0.362181,0.728728
7.152356,0.333249,0.636042
7.55195,0.354219,0.642216
6.615682,0.342257,0.579031
6.708309,0.368082,0.65716
6.914146,0.364912,0.690282
7.266962,0.373092,0.741687
7.413572,0.35874,0.744938
6.621822,0.331935,0.696488
6.660177,0.340286,0.639055
6.78902,0.340586,0.656557
7.91297,0.363365,0.748627
7.470393,0.387157,0.750397
7.004642,0.345819,0.653394
7.361981,0.367428,0.664927
6.523944,0.36982,0.600714
6.678094,0.393615,0.655064
6.819267,0.392691,0.713665
7.294424,0.386734,0.753266
7.432139,0.375697,0.751488
6.606302,0.351261,0.695413
6.921649,0.361028,0.60011
6.862516,0.365938,0.640629
7.501847,0.383083,0.73556
7.838025,0.403846,0.776251
7.566001,0.346849,0.684143
7.29742,0.392456,0.674497
6.739492,0.382355,0.601035
6.726061,0.397397,0.682043
6.798607,0.384285,0.722934
7.145962,0.392889,0.762954
7.49518,0.386651,0.763084
6.737768,0.359623,0.708832
6.807023,0.377047,0.647062
6.883434,0.371505,0.680729
7.770058,0.399957,0.755027
8.066247,0.423909,0.739318
7.416912,0.388128,0.680743
7.303725,0.417287,0.676417
6.617114,0.420361,0.599242
6.539491,0.445634,0.67756
6.618345,0.443148,0.734978
6.974474,0.445735,0.776775
6.840556,0.429994,0.758994
6.104693,0.399306,0.700847
6.563795,0.414393,0.656598
6.588885,0.407538,0.662742
7.40631,0.432271,0.762278
7.722378,0.426373,0.775038
6.649806,0.378565,0.671752
6.714718,0.430087,0.703269
6.051653,0.435012,0.621353
5.889515,0.460473,0.683971
6.102856,0.457323,0.729356
6.385124,0.455899,0.762973
6.565902,0.449686,0.755606
5.996211,0.420236,0.687698
6.216283,0.451477,0.606841
6.173966,0.451441,0.617805
7.394065,0.475975,0.739558
7.674596,0.480067,0.758495
6.890472,0.443254,0.681945
6.81611,0.490357,0.675562
6.078281,0.479212,0.602151
6.233575,0.505945,0.696713
6.504583,0.519901,0.713885
6.887004,0.509025,0.75164
6.999945,0.495511,0.748093
6.317627,0.472836,0.725068
6.173845,0.486337,0.655872
6.439027,0.493982,0.654872
7.70799,0.519257,0.770138
7.776325,0.515053,0.761181
6.699789,0.483761,0.677953
6.812883,0.542539,0.687083
6.092503,0.529311,0.570783
6.120641,0.547848,0.596583
6.349218,0.553298,0.682987
6.801611,0.539749,0.757017
6.877569,0.533537,0.746487
6.159359,0.493388,0.699506
6.182237,0.508749,0.662758
6.355753,0.517794,0.674655
7.034714,0.543031,0.751706
7.144212,0.517856,0.758482
6.591734,0.482434,0.669053
6.215814,0.534183,0.646854
5.839891,0.515902,0.585471
6.124276,0.544278,0.650551
6.247402,0.528935,0.682603
6.789834,0.521063,0.724406
6.746537,0.518634,0.729361
6.019045,0.474575,0.67601
6.236452,0.497279,0.626049
6.462099,0.489545,0.594293
6.886605,0.525661,0.718688
7.413982,0.541722,0.746119
6.636237,0.489703,0.64244
6.918264,0.542829,0.657737
6.076252,0.553445,0.593157
6.060583,0.578839,0.6567
6.163129,0.568941,0.694124
6.679546,0.572609,0.737064
6.638514,0.54594,0.745477
6.209405,0.521977,0.687533
6.275289,0.548917,0.660205
6.656275,0.547426,0.678929
7.496801,0.574669,0.744947
7.981908,0.567339,0.765208
7.045436,0.504187,0.655141
6.99032,0.584354,0.652611
6.07762,0.580934,0.589726
6.099528,0.587999,0.658367
6.178278,0.586665,0.712658
6.61897,0.585151,0.752422
6.662978,0.56282,0.743936
6.190374,0.529542,0.706343
6.311486,0.558405,0.652547
6.679229,0.566067,0.681301
7.180598,0.585563,0.767299
7.682537,0.566212,0.776715
7.159352,0.529192,0.66368
6.899031,0.5757,0.67503
5.984159,0.567987,0.625226
6.101003,0.580929,0.688414
6.36044,0.566693,0.716542
6.834754,0.585911,0.746829
6.729872,0.577011,0.75732
6.214951,0.547077,0.69521
6.184823,0.557857,0.633451
6.197692,0.572632,0.63024
6.741673,0.602293,0.728229
7.415254,0.581193,0.758537
6.663741,0.573285,0.686509
6.3369,0.617896,0.691851
5.886045,0.583988,0.656112
5.958827,0.606997,0.696324
6.347812,0.588654,0.702587
6.824567,0.605704,0.735784
6.932325,0.59173,0.748095
6.251514,0.562391,0.684522
6.160696,0.580043,0.63521
6.171333,0.584705,0.681705
7.37,0.643136,0.749517
7.279425,0.605491,0.764768
6.076847,0.564936,0.664778
6.714135,0.651877,0.68081
5.846171,0.631253,0.593479
6.098856,0.660715,0.64127
6.245456,0.643404,0.700866
6.734308,0.621282,0.745875
6.645986,0.608199,0.757067
6.050237,0.575243,0.712236
6.21255,0.605173,0.690239
6.509779,0.598341,0.696756
7.493366,0.61757,0.770824
7.911819,0.634306,0.780456
6.47658,0.584663,0.67738
6.990649,0.650944,0.700826
6.252246,0.638792,0.618237
6.219886,0.675219,0.703833
6.380783,0.654596,0.728583
6.904313,0.632779,0.757528
6.97706,0.638726,0.755713
6.322819,0.582054,0.676697
6.564261,0.610084,0.620995
6.943583,0.604744,0.668643
7.336542,0.62765,0.749177
7.838231,0.621459,0.769584
6.835727,0.580478,0.675753
7.031288,0.646819,0.679562
6.011698,0.650823,0.632586
6.175787,0.682371,0.700904
6.189718,0.649664,0.718461
6.811535,0.654643,0.753898
6.86216,0.635174,0.750891
6.26438,0.602462,0.689836
6.3538,0.625912,0.647745
6.814014,0.609519,0.669598
7.236205,0.634502,0.763034
7.236975,0.626996,0.774776
6.70622,0.615107,0.688502
6.243224,0.6111,0.668515
4.978839,0.553731,0.61809
5.127289,0.619881,0.672074
5.529567,0.63699,0.702024
6.343108,0.624469,0.7248
6.335068,0.60782,0.720588
5.733709,0.57379,0.686588
5.930085,0.59281,0.6201
5.968496,0.612464,0.645145
7.006786,0.62536,0.729872
7.210077,0.607049,0.748098
6.613514,0.546565,0.656549
6.358639,0.666529,0.664413
5.876166,0.64157,0.595413
5.954598,0.681811,0.661137
6.320079,0.644786,0.689048
6.698793,0.638611,0.717845
6.784358,0.642608,0.724517
6.082624,0.610537,0.672879
6.158663,0.641215,0.609065
6.472315,0.643254,0.654413
6.923779,0.679717,0.737537
7.621866,0.666181,0.737387
6.71456,0.627753,0.646232
6.662718,0.715089,0.65983
5.949135,0.699907,0.577665
6.03063,0.724715,0.662211
6.225362,0.710225,0.686595
6.673354,0.691789,0.719417
6.706268,0.664495,0.719835
6.089295,0.617986,0.665884
6.107786,0.646532,0.615861
6.477644,0.665047,0.648207
7.239564,0.661131,0.721896
7.004713,0.68463,0.740451
6.286133,0.643582,0.63531
6.720774,0.718443,0.656348
5.888036,0.687293,0.592009
5.967137,0.735394,0.642269
6.118981,0.681558,0.678755
6.658416,0.693375,0.730186
6.794471,0.703291,0.728686
6.072652,0.651911,0.684968
6.230196,0.690467,0.641535
6.528145,0.664571,0.650468
6.911615,0.690054,0.719844
7.583622,0.661948,0.721745
